MutationType	variable	value	adjusted_count	type	tumor	region	rloop
totalSNV	DO45065	12	1.686595668485	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45067	13	1.82714530752542	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45069	27	3.79484025409126	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45071	17	2.38934386368709	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45073	14	1.96769494656584	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45075	23	3.23264169792959	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45077	17	2.38934386368709	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45079	21	2.95154241984876	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45081	30	4.21648917121251	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45083	34	4.77868772737418	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45085	15	2.10824458560626	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45087	27	3.79484025409126	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45089	17	2.38934386368709	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45091	21	2.95154241984876	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45092	15	2.10824458560626	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45093	15	2.10824458560626	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45094	15	2.10824458560626	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45095	7	0.983847473282919	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45096	21	2.95154241984876	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45097	13	1.82714530752542	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45099	5	0.702748195202085	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45101	6	0.843297834242502	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45103	5	0.702748195202085	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45105	14	1.96769494656584	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45107	8	1.12439711232334	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45109	4	0.562198556161668	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45111	8	1.12439711232334	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45113	3	0.421648917121251	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45115	16	2.24879422464667	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45117	14	1.96769494656584	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45119	23	3.23264169792959	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45121	1	0.140549639040417	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45123	7	0.983847473282919	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45125	8	1.12439711232334	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45127	47	6.6058330348996	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45129	11	1.54604602944459	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45131	6	0.843297834242502	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45133	18	2.52989350272751	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45135	2	0.281099278080834	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45137	9	1.26494675136375	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45139	23	3.23264169792959	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45141	26	3.65429061505084	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45143	10	1.40549639040417	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45145	19	2.67044314176792	rloop_tss	ICGC_Liver	tss	rloop
